STL_Type,Count,SampleFiles
std::make_optional,20,"bmcweb/test/redfish-core/lib/power_subsystem_test.cpp:43, bmcweb/test/redfish-core/lib/thermal_subsystem_test.cpp:42, bmcweb/redfish-core/include/utils/telemetry_utils.hpp:87"
std::unordered_set,20,"phosphor-host-ipmid/transporthandler.hpp:143, phosphor-host-ipmid/transporthandler.hpp:147, phosphor-host-ipmid/transporthandler.hpp:253"
std::back_inserter,19,"bmcweb/redfish-core/include/utils/sensor_utils.hpp:537, bmcweb/redfish-core/lib/log_services.hpp:133, entity-manager/src/fru_device/fru_utils.cpp:662"
std::forward_as_tuple,19,"pldm/platform-mc/sensor_manager.cpp:125, pldm/platform-mc/sensor_manager.cpp:126, phosphor-host-ipmid/include/ipmid/handler.hpp:234"
std::initializer_list,18,"bmcweb/redfish-core/include/privileges.hpp:83, bmcweb/http/utility.hpp:383, bmcweb/http/routing/ruleparametertraits.hpp:86"
std::tie,18,"bmcweb/redfish-core/src/utils/time_utils.cpp:277, pldm/requester/test/handler_test.cpp:186, pldm/requester/test/handler_test.cpp:259"
std::ios_base,18,"entity-manager/src/fru_device/fru_device.cpp:895, entity-manager/src/fru_device/fru_device.cpp:898, entity-manager/src/fru_device/fru_device.cpp:927"
std::distance,17,"bmcweb/test/include/multipart_test.cpp:373, bmcweb/include/human_sort.hpp:72, bmcweb/include/human_sort.hpp:77"
std::string_literals,17,"bmcweb/test/http/utility_test.cpp:51, bmcweb/test/http/utility_test.cpp:81, bmcweb/test/http/utility_test.cpp:102"
std::advance,17,"bmcweb/include/human_sort.hpp:64, bmcweb/include/human_sort.hpp:65, bmcweb/include/human_sort.hpp:72"
std::list,17,"bmcweb/redfish-core/include/filter_expr_parser_ast.hpp:66, bmcweb/redfish-core/include/filter_expr_parser_ast.hpp:71, entity-manager/src/entity_manager/perform_scan.cpp:196"
std::allocator,17,"bmcweb/redfish-core/include/utils/extern/date.h:6577, bmcweb/redfish-core/include/utils/extern/date.h:7915, bmcweb/redfish-core/include/utils/extern/date.h:7931"
std::rethrow_exception,17,"pldm/requester/test/handler_test.cpp:191, sdbusplus/include/sdbusplus/bus.hpp:229, sdbusplus/include/sdbusplus/bus.hpp:247"
std::fprintf,17,"phosphor-host-ipmid/ipmi_fru_info_area.cpp:252, phosphor-host-ipmid/sensorhandler.cpp:242, phosphor-host-ipmid/sensorhandler.cpp:278"
std::bit_cast,16,"bmcweb/test/http/http2_connection_test.cpp:75, bmcweb/test/http/http2_connection_test.cpp:83, bmcweb/test/http/http2_connection_test.cpp:85"
std::istreambuf_iterator,16,"bmcweb/features/ibm/ibm_management_console_rest.hpp:310, bmcweb/features/ibm/ibm_management_console_rest.hpp:311, phosphor-logging/test/openpower-pels/pel_utils.cpp:393"
std::strcmp,16,"bmcweb/redfish-core/src/registries.cpp:60, entity-manager/src/entity_manager/devices.hpp:28, entity-manager/src/entity_manager/perform_probe.hpp:17"
std::holds_alternative,15,"bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:82, bmcweb/test/redfish-core/include/utils/json_utils_test.cpp:95, bmcweb/redfish-core/lib/network_protocol.hpp:309"
std::monostate,15,"bmcweb/redfish-core/src/filter_expr_executor.cpp:105, bmcweb/redfish-core/src/filter_expr_executor.cpp:284, bmcweb/redfish-core/src/filter_expr_executor.cpp:286"
std::system_category,15,"dbus-sensors/src/NotifyWatch.cpp:42, dbus-sensors/src/NotifyWatch.cpp:50, dbus-sensors/src/NotifyWatch.cpp:57"
std::tuple_element_t,15,"phosphor-host-ipmid/include/ipmid/handler.hpp:230, phosphor-host-ipmid/include/ipmid/handler.hpp:238, phosphor-host-ipmid/include/ipmid/handler.hpp:246"
std::regex_constants,15,"phosphor-logging/extensions/openpower-pels/tools/peltool.cpp:354, phosphor-logging/extensions/openpower-pels/tools/peltool.cpp:747, phosphor-logging/extensions/openpower-pels/tools/peltool.cpp:788"
std::literals,14,"bmcweb/test/http/http2_connection_test.cpp:100, bmcweb/redfish-core/src/utils/time_utils.cpp:330, dbus-sensors/src/nvidia-gpu/MctpRequester.cpp:28"
std::tm,14,"bmcweb/redfish-core/include/utils/extern/date.h:5155, bmcweb/redfish-core/include/utils/extern/date.h:5945, bmcweb/redfish-core/include/utils/extern/date.h:6600"
std::snprintf,14,"bmcweb/src/json_html_serializer.cpp:180, bmcweb/src/json_html_serializer.cpp:188, phosphor-host-ipmid/ipmisensor.cpp:125"
std::transform,14,"bmcweb/src/webserver_cli.cpp:28, bmcweb/src/webserver_cli.cpp:43, bmcweb/src/webserver_cli.cpp:74"
std::regex_replace,14,"bmcweb/src/dbus_utility.cpp:34, entity-manager/src/fru_device/fru_utils.cpp:1163, entity-manager/src/fru_device/fru_device.cpp:838"
std::uppercase,14,"phosphor-host-ipmid/selutility.hpp:183, phosphor-power/phosphor-regulators/src/error_logging.cpp:68, phosphor-power/phosphor-regulators/src/actions/pmbus_read_sensor_action.cpp:82"
